,poets,titles,fulltexts
0,Mark Lemon,How To Make A Man Of Consequence,"A brow austere, a circumspective eye.
A frequent shrug of the os humeri;
A nod significant, a stately gait,
A blustering manner, and a tone of weight,
A smile sarcastic, an expressive stare:
Adopt all these, as time and place will bear;
Then rest assur'd that those of little sense
Will deem you sure a man of consequence."
1,Edmund Hodgson Yates,All-Saints,"In a church which is furnish'd with mullion and gable,
With altar and reredos, with gargoyle and groin,
The penitents' dresses are sealskin and sable,
The odour of sanctity's eau-de-Cologne.

But only could Lucifer, flying from Hades,
Gaze down on this crowd with its panniers and paints,
He would say, as he look'd at the lords and the ladies,
""Oh, where is All-Sinners', if this is All-Saints'?"""
2,Jonathan Swift,"Gentle Echo On Woman, A","
IN THE DORIC MANNER


Shepherd. Echo, I ween, will in the woods reply,
And quaintly answer questions: shall I try?
Echo. Try.
Shepherd. What must we do our passion to express?
Echo. Press.
Shepherd. How shall I please her, who ne'er loved before?
Echo. Before.
Shepherd. What most moves women when we them address?
Echo. A dress.
Shepherd. Say, what can keep her chaste whom I adore?
Echo. A door.
Shepherd. If music softens rocks, love tunes my lyre.
Echo. Liar.
Shepherd. Then teach me, Echo, how shall I come by her?
Echo. Buy her.
Shepherd. When bought, no question I shall be her dear?
Echo. Her deer.
Shepherd. But deer have horns: how must I keep her under?
Echo. Keep her under.
Shepherd. But what can glad me when she's laid on bier?
Echo. Beer.
Shepherd. What must I do so women will be kind?
Echo. Be kind.
Shepherd. What must I do when women will be cross?
Echo. Be cross.
Shepherd. Lord, what is she that can so turn and wind?
Echo. Wind.
Shepherd. If she be wind, what stills her when she blows?
Echo. Blows.
Shepherd. But if she bang again, still should I bang her?
Echo. Bang her.
Shepherd. Is there no way to moderate her anger?
Echo. Hang her.
Shepherd. Thanks, gentle Echo! right thy answers tell
What woman is and how to guard her well.
Echo. Guard her well."
3,Richard Brinsley Butler Sheridan,"Wife, A","Lord Erskine, at women presuming to rail,
Calls a wife ""a tin canister tied to one's tail"";
And fair Lady Anne, while the subject he carries on,
Seems hurt at his Lordship's degrading comparison.
But wherefore degrading? consider'd aright,
A canister's useful, and polish'd, and bright:
And should dirt its original purity hide,
That's the fault of the puppy to whom it is tied."
4,Richard Brinsley Butler Sheridan,"Literary Lady, The","
What motley cares Corilla's mind perplex,
Whom maids and metaphors conspire to vex!
In studious dishabille behold her sit,
A lettered gossip and a household wit;
At once invoking, though for different views,
Her gods, her cook, her milliner and muse.
Round her strewed room a frippery chaos lies,
A checkered wreck of notable and wise,
Bills, books, caps, couplets, combs, a varied mass,
Oppress the toilet and obscure the glass;
Unfinished here an epigram is laid,
And there a mantua-maker's bill unpaid.
There new-born plays foretaste the town's applause,
There dormant patterns pine for future gauze.
A moral essay now is all her care,
A satire next, and then a bill of fare.
A scene she now projects, and now a dish;
Here Act the First, and here, Remove with Fish.
Now, while this eye in a fine frenzy rolls,
That soberly casts up a bill for coals;
Black pins and daggers in one leaf she sticks,
And tears, and threads, and bowls, and thimbles mix."
5,Unknown,Trust In Women,"
When these things following be done to our intent,
Then put women in trust and confident.

When nettles in winter bring forth roses red,
And all manner of thorn trees bear figs naturally,
And geese bear pearls in every mead,
And laurel bear cherries abundantly,
And oaks bear dates very plenteously,
And kisks give of honey superfluence,
Then put women in trust and confidence.

When box bear paper in every land and town,
And thistles bear berries in every place,
And pikes have naturally feathers in their crown,
And bulls of the sea sing a good bass,
And men be the ships fishes trace,
And in women be found no insipience,
Then put them in trust and confidence.

When whitings do walk forests to chase harts,
And herrings their horns in forests boldly blow,
And marmsets mourn in moors and lakes,
And gurnards shoot rooks out of a crossbow,
And goslings hunt the wolf to overthrow,
And sprats bear spears in armes of defence,
Then put women in trust and confidence.

When swine be cunning in all points of music,
And asses be doctors of every science,
And cats do heal men by practising of physic,
And buzzards to scripture give any credence,
And merchants buy with horn, instead of groats and pence,
And pyes be made poets for their eloquence,
Then put women in trust and confidence.

When sparrows build churches on a height,
And wrens carry sacks unto the mill,
And curlews carry timber houses to dight,
And fomalls bear butter to market to sell,
And woodcocks bear woodknives cranes to kill,
And greenfinches to goslings do obedience,
Then put women in trust and confidence.

When crows take salmon in woods and parks,
And be take with swifts and snails,
And camels in the air take swallows and larks,
And mice move mountains by wagging of their tails,
And shipmen take a ride instead of sails,
And when wives to their husbands do no offence,
Then put women in trust and confidence.

When antelopes surmount eagles in flight,
And swans be swifter than hawks of the tower,
And wrens set gos-hawks by force and might,
And muskets make verjuice of crabbes sour,
And ships sail on dry land, silt give flower,
And apes in Westminster give judgment and sentence,
Then put women in trust and confidence."
6,Sir Francis Cowley Burnand,True To Poll,"
I'll sing you a song, not very long,
But the story somewhat new,
Of William Kidd, who, whatever he did,
To his Poll was always true.
He sailed away in a galliant ship
From the port of old Bris"
7,Unknown,"Learned Negro, The","
There was a negro preacher, I have heard,
In Southern parts before rebellion stirred,
Who did not spend his strength in empty sound;
His was a mind deep-reaching and profound.
Others might beat the air, and make a noise,
And help to amuse the silly girls and boys;
But as for him, he was a man of thought,
Deep in theology, although untaught.
He could not read or write, but he was wise,
And knew right smart how to extemporize.
One Sunday morn, when hymns and prayers were said,
The preacher rose and rubbing up his head,
""Bredren and sisterin, and companions dear,
Our preachment for to-day, as you shall hear,
Will be ob de creation, ob de plan
On which God fashioned Adam, de fust man.
When God made Adam, in de ancient day,
He made his body out ob earth and clay,
He shape him all out right, den by and by,
He set him up again de fence to dry.""
""Stop,"" said a voice; and straightway there arose
An ancient negro in his master's clothes.
""Tell me,"" said he, ""before you farder go,
One little thing which I should like to know.
It does not quite get through dis niggar's har,
How came dat fence so nice and handy dar?""
Like one who in the mud is tightly stuck,
Or one nonplussed, astonished, thunderstruck,
The preacher looked severely on the pews,
And rubbed his hair to know what words to use:
""Bredren,"" said he, ""dis word I hab to say;
De preacher can't be bothered in dis way;
For, if he is, it's jest as like as not,
Our whole theology will be upsot."""
8,Samuel Butler,Hypocrisy,"Hypocrisy will serve as well
To propagate a church, as zeal;
As persecution and promotion
Do equally advance devotion:
So round white stones will serve, they say,
As well as eggs to make hens lay."
9,Samuel Butler,Smatterers,"All smatterers are more brisk and pert
Than those that understand an art;
As little sparkles shine more bright
Than glowing coals, that give them light."
